Paper,,,Experimental Design,,,,Demographic,,,,,,,,Game Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punishment Info,,,,Help/Compensation Info,,,,Keep info,,,Notes
No.,Title,Study,Lab or Online,Group Manipulation,Group manipulation Indicator,Group Selection/Instruction,Number of Valid Participants,Sample Source,Female,Male,Age (mean),Age (SD),Nationality,Country ,Game Type,Game explanation,Real or deception,One-shot Interaction? (Do participants believe that players will never meet again? Also Yes if third-parties are evaluating past interaction),Previous Engagement (Whether the participants enaged as players before),"Future Engagement (Whether the participants will, or believe they will, enegae as players later)",Multiplier in the game,Person A Endowments,Person B Endowments,Punisher Choices,Punisher Endowments,Punishment min,Punishment max,Punishment-Cost Ratio,Reward min,Reward Max,Reward-cost Ratio,Token/Monetary Unit or Currency?,"Exchange Rate
Per Token/Monetary Unit to Money",Currency,Person A Affiliation Manipulated or Not?,Between or Within?,Person B Affliation Manipulated or Not?,Between or Within?,Fairness/Cooperativeness of Person A Manipulated or Not?,Between or Within?,Definition of Fairness/Cooperativeness,Fairness/Cooperativeness of Person B Manipulated or Not?,Between or Within?,Other IV,Between or Within,Levels,Fairness/Cooperativeness of Person A,Fairness/Cooperativeness of Person B,Person A affiliation,Recipient/Player B Affliation,N by condition,Trials per Participant,Total Trials,P_Proportion,P_Frequency,P_Average Invested Amount,P_SD invested amount ,H_Proportion ,H_Frequency,H_Average Invested Amount,K_SD invested amount ,K_Proportion ,K_Frequency,K_SD,Notes
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Fair,,Outgroup ,Ingroup ,21,12,252,,,,,,,,,,,,
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Unfair,,Ingroup ,Ingroup ,21,12,252,,,,,,,,,,,,
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Unfair,,Outgroup ,Ingroup ,21,12,252,,,,,,,,,,,,
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Unfair,,Ingroup ,Ingroup ,21,12,252,,,,,,,,,,,,
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Unfair,,Outgroup ,Ingroup ,21,12,252,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Generous,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Generous,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Generous,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Fair,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Fair,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Fair,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Fair,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Selfish,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Selfish,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Selfish,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Generous,Selfish,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Generous,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Generous,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Generous,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Generous,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Fair,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Fair,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Fair,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Fair,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Selfish,Ingroup ,Ingroup ,,,,,,,,,,,,,,,
27,Oxytocin modulates third-party sanctioning of selfish and generous behavior within and between groups,1,Lab,Experimental,Group name,Minimal group paradigm – assigned to “Team A” (in-group) or “Team B” (outgroup),99,Recruited online,64,35,21.83,3.12,,Netherlands,Trust Game,"Participants were randomly allocated to one of two 3-person groups and given instructions for a fully incentivized standard trust game. It was explained that one fellow-participant (henceforth investor) would be asked to transfer X from their “Investment Endowment” (IE; with E = D 10, and 0 ≤ X ≤ 10) to another fellow-participant (henceforth trustee). Transfers would be tripled, and trustees would then be asked to decide a back-transfer amount, Y (with 0 ≤ Y ≤ 3X). Next, participants were shown a series of possible exchanges between investors and trustees, and for each exchange they would have the opportunity to assign “evaluation points,” first to the investor and then to the trustee (range −10 to +10). Both punishing (negative values, range −10 to −1) and rewarding (positive values, +1 to +10) were costly to the participant.",Real,One-shot,Yes,No,3,10,0,Punish and Reward,5,0,2.5,3,0,2.5,3,Currency,NA,Euro,,,,,,,,,,,,,Fair,Selfish,Outgroup ,Ingroup ,,,,,,,,,,,,,,,
